scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
"Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)",https://www.myscheme.gov.in/schemes/fesfpc,,india_only,"This scheme provides full coverage of tuition fees, special fees, and examination fees for Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) students pursuing professional courses.",Education,All,Minority,Not Specified,All Ages,Agriculture,Scholarship,Not Specified,Not Specified,Not Specified,Minority Welfare,Scholarship,Education,Minority,Agriculture,Fees,Backward Classes,Communities Dnc,Mbc Denotified,Classes Mbc,,,,,
Free Education Scholarship for Three-Year Diploma (Polytechnic Courses),https://www.myscheme.gov.in/schemes/fesftydpc,Tamil Nadu,myscheme,"This scheme provides free education scholarships for students from Backward Classes, Most Backward Classes, and Denotified Communities pursuing 3-year Diploma courses in Government and Government-Aided Polytechnics.",Education,All,Minority,Not Specified,All Ages,Education,Scholarship,Not Specified,Not Specified,Not Specified,Diploma,Education,Minority Welfare,Polytechnic Courses,Scholarship,Minority,Backward Classes,Polytechnics,Classes Denotified,Communities Pursuing,,,,,
Free Electricity Supply Scheme,https://www.myscheme.gov.in/schemes/fess,,india_only,The scheme aims to provide free electricity supply to Scheduled Caste (SC) and Scheduled Tribe (ST) farmers of Madhya Pradesh who have agricultural pumps up to 5 horsepower and landholding up to 1 hectare.,Housing & Infrastructure,All,SC,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Not Specified,Not Specified,Not Specified,Free Electricity,Scheduled Caste,Scheduled Tribe,Housing & Infrastructure,SC,Infrastructure / In-kind,Farmers Madhya,Electricity Supply,Landholding,Pumps,,,,,
Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,https://www.myscheme.gov.in/schemes/feotteuyobcamc,Madhya Pradesh,myscheme,"""Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class"" aims to provide quality pre-examination training for various employment-oriented competitive examinations to talented but economically disadvantaged young men and women.",Employment & Skill Development,All,OBC,Not Specified,Student / Youth,General / Not Specified,Skill Training,Not Specified,Not Specified,Not Specified,Backward Class,Educated,Employment,Minority,Training,Employment & Skill Development,OBC,Student / Youth,Skill Training,,,,,,
Free Legal Aid under the Legal Services Authority Act 1987,https://www.myscheme.gov.in/schemes/flalsac,Uttarakhand,myscheme,"The scheme aims to provide free legal aid to all eligible persons in Uttarakhand who intend to file a case, have already filed a case, or need to defend a case under the provisions of the Legal Services Authority Act, 1987.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Not Specified,Not Specified,Not Specified,Court Cases,Free Legal Aid,Justice,Legal Service,Infrastructure / In-kind,Intend,Provisions,Authority,Need,Act,,,,,
Free Medical Assistance (Gujarat),https://www.myscheme.gov.in/schemes/fmaguj,,india_only,"The scheme aims to provide financial assistance for expensive medical treatments to Scheduled Tribe individuals. Through this scheme, monetary aid is provided to Scheduled Tribe individuals suffering from various diseases and for serious maternity cases and anaemia in women.",Health,Women,ST,Not Specified,All Ages,Health,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Expensive Medical Treatment,Tuberculosis,Cancer,Leprosy,HIV,Sickle Cell Anaemia,Health,Women,ST,Financial Assistance / Grant,,,,,
Free Medical Card for Media Persons,https://www.myscheme.gov.in/schemes/fmcmp,Puducherry,myscheme,The scheme provides free medical facilities to press correspondents and members of their families in Government hospitals /institutions under the control of the Administration. This will include free treatment in Government hospitals /institutions with entitlement to A-Class Special Wards..,Health,All,All / Not Specified,Not Specified,All Ages,Health,Infrastructure / In-kind,Not Specified,Not Specified,Not Specified,Hospital,Media,Medical,Press,Health,Infrastructure / In-kind,Institutions,Free,Members Families,Control,,,,,
Free Motorized Tricycle Scheme for Persons with Disabilities,https://www.myscheme.gov.in/schemes/fmtsfpwd,Uttar Pradesh,myscheme,"The scheme “Free Motorized Tricycle Scheme for Persons with Disabilities”, who are facing the mainstream of society due to their disabilities are provided motorized tricycles free of cost to those unable to connect.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Not Specified,Not Specified,Not Specified,Disabilities,Empowerment,Motorized Tricycle,State,Infrastructure / In-kind,Mainstream,Tricycles Free,Connect,Facing,Unable,,,,,
Free Passport Scheme,https://www.myscheme.gov.in/schemes/freepassport,Haryana,myscheme,"The scheme aims to facilitate higher education and global career opportunities for students by covering the cost of passport issuance. Under this scheme, final-year UG and PG students in government colleges receive reimbursement for passport application fees.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Infrastructure / In-kind,Student,Not Specified,Not Specified,Free Passport,Post Graduate,Reimbursement,Student,Under Graduate,Education,Student / Youth,Infrastructure / In-kind,,,,,,,
Free Pre-Recruitment Training,https://www.myscheme.gov.in/schemes/fprtuk,Uttarakhand,myscheme,"The scheme aims to provide 8 weeks of free pre-recruitment training for recruitment into the Military, Paramilitary, and Police Forces to sons of ex-servicemen aged between 16 and 21 years who have passed high school with at least 45% marks.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Skill Training,Not Specified,Not Specified,Not Specified,Ex-serviceman,Military Forces,Paramilitary Forces,Police Forces,Recruitment Training,Soldier,Education,Skill Training,,,,,,,
Free Scooty Distribution for Girls (GEN-CATEGAORY-EWS),https://www.myscheme.gov.in/schemes/fsdfg,Rajasthan,myscheme,"Under this scheme, meritorious girl students from government and private schools who have scored 85% or above in the Class 10th and 12th (Arts, Commerce, Science streams) examinations are provided with a free scooty, along with a helmet and petrol.",Education,Women,All / Not Specified,BPL / EWS / Low Income,Student / Youth,General / Not Specified,Infrastructure / In-kind,Student,Not Specified,Not Specified,Economically Weaker Section,EWS,Girl Student,Meritorious Student,Scooty,Education,Women,BPL / EWS / Low Income,Student / Youth,Infrastructure / In-kind,Student,,,,
