scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ahst,Puducherry,myscheme,The scheme aims to enhance the skill of those who have completed the basic training and are interested in advanced training in their trade or the candidates having technical qualifications willing to undergo some special high skilled training to start their ventures or to get suitable employment.,Employment & Skill Development,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Employment,ITI,Skill,Stipend,Training,Youth,Employment & Skill Development,Student / Youth,Financial Assistance / Grant,,,,,,
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/atihcdohs,Puducherry,myscheme,"Through the ""Advanced Training in Handicrafts"" scheme, candidates will be sponsored for training in other states where the craft is practised to its finest. The training program focuses on enhancing craft skills, enabling participants to acquire advanced techniques and proficiency in their craft.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Craft,Handicrafts,Stipend,Trainee,Training,Employment & Skill Development,Financial Assistance / Grant,Advanced,Proficiency,Enabling Participants,,,,,
"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/aith-atisis,Assam,myscheme,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Not Specified,Not Specified,Not Specified,Holiday,Incentive,Income Tax,Industry,Tea,Business & Finance,Industry / MSME,Incentivize Manufacturers,Implemented Finance,Manufacturers Crush,,,,,
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/aipbo-faascdmf,Puducherry,myscheme,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Boat,Fisheries,Fisherman,Insurance,Marine,Agriculture,Financial Assistance / Grant,Annual,Availing Subsidy,Production Subsidies,,,,,
"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aewc-mesifai-vi,Puducherry,myscheme,"Through this scheme, 50% of the fees paid to the recognized institution/consultant for conducting the energy/water audit is reimbursed. The unit should have achieved saving in energy/water minimum by 10% of average monthly consumption of previous 12 months before conduct of audit.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Audit,Business,Energy,Entrepreneur,Industry,Water,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aipps-mesifai-vi,,india_only,"Through this scheme, assistance of 50% is provided subject to a maximum of ₹2,00,000/- for the expenditure for obtaining domestic patent (₹5,00,000/- for international patent). The applications are accepted offline in the prescribed form available on the Official Website of the Department.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Patent,IPR,Business,Enterprise,MSME,Business & Finance,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",https://www.myscheme.gov.in/schemes/beispgccpts,Puducherry,myscheme,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Financial Assistance,Paddy,Subsidy,Financial Assistance / Grant,Investment,Ended,Yanam,Production Technology,,,,,
"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/cis-mesifa-cii,Puducherry,myscheme_only,"Through ""Capital Investment Subsidy (for New and Existing Industries)"", the enterprises & entrepreneurs are provided subsidies of upto 45% on the investments made on land, buildings, plants and machinery. The applications are accepted offline in the prescribed form available on the Official website.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Building,Entrepreneur,Investment,Machinery,MSME,Subsidy,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cis5aciskr-mesifai,Puducherry,myscheme,"The ""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), UT of Puducherry.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Not Specified,Not Specified,Not Specified,Business,Industry,Investment,Machinery,Subsidy,Business & Finance,Industry / MSME,Industries,Capital,Component Motivation,,,,,
"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisitites-mesifai,Puducherry,myscheme_only,"The new IT/ITES industrial unit which started production on or after 6-11-2002 are provided with subsidy on the investments made on plant and machinery @ 20% thereon subject to a maximum of ₹20,00,000/- for the large, medium, small and micro enterprises during the period of operation of the scheme.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Entrepreneur,Information Technology,Investment,Subsidy,Employment & Skill Development,Entrepreneur / Business Owner,Started Production,Industrial Unit,Plant Machinery,,,,,
"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisphpes-mesifai,Puducherry,myscheme,"Through this scheme, the new industrial units which started production on or after 5th August 2009 by physically handicapped entrepreneurs and Ex-Servicemen for the investments made on land, building and plant and machinery are eligible for capital investment subsidy at the rate of 25%.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Subsidy,Entrepreneur / Business Owner,Persons with Disability,Not Specified,Business,Disability,Entrepreneur,Investment,Machinery,Health,Subsidy,Entrepreneur / Business Owner,Persons with Disability,,,,,,
"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",https://www.myscheme.gov.in/schemes/cisscstwe-mesifai,Puducherry,myscheme,"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" is a scheme by the Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry. The department extends subsidies for the investments made on land, buildings, plants & machinery @ 25%.",Employment & Skill Development,Women,SC,Not Specified,All Ages,General / Not Specified,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Entrepreneur,Investment,Machinery,Subsidy,Employment & Skill Development,Women,SC,Entrepreneur / Business Owner,,,,,,,
"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/cecdcs,Puducherry,myscheme,"The scheme ""Conducting of Exhibitions"" aims to enhance awareness of diverse coir products and promote their market presence. It extends financial support, including a daily allowance of ₹150 per participant and travel reimbursements, to both local and outstation participants.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Allowance,Awareness,Coir,Exhibition,Financial Assistance / Grant,Outstation,Presence,Participant,Reimbursements,Diverse,,,,,
"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/cmmfbdsf-faascdmf,Puducherry,myscheme,"The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is introduced by the Dept of Fisheries and Fishermen Welfare, Govt of Puducherry to increase marine fish production by extending grants for the conversion/modernization of mechanized boats for deep-sea fishing.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Boat,Financial Assistance,Fisherman,Marine,Subsidy,Agriculture,Financial Assistance / Grant,Fishing,Conversion,Deep-sea,,,,,
"""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ddtmcp,Puducherry,myscheme,This scheme aims to enhance the skills of craftspersons in moulding and designing their traditional crafts. The objective is to make these crafts more appealing to customers and increase marketability. The training has a significant impact on the development of modern art and techniques in craft.,Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Allowance,Craft,Craftsperson,Design,Training,Employment & Skill Development,Financial Assistance / Grant,Significant Impact,Moulding,Development Modern,,,,,
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/ei-mesifai-vi,Puducherry,myscheme,"Through the ""Employment Incentive"" scheme, Wage/Employment subsidy of 20% wage/salary up to a maximum of ₹5,00,000/- per annum, in case of workers who are covered under Provident Fund (PF), will be granted. The applications are accepted offline in prescribed form available on the Official Website.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Employment,Incentive,Industry,MSME,Subsidy,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/ei-mesifai,Puducherry,myscheme,"A Wage/Employment subsidy of 20% of wage/ salary up to a maximum of ₹5,00,000/- per annum is provided in the case of workers who are covered under the Provident Fund (PF). The new units which commence production on or after 2-8-2004 would alone be eligible for this incentive for 5 years.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Employment,Entrepreneur,Incentive,Industry,Subsidy,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/edpedp,Puducherry,myscheme,"The scheme aims to to develop entrepreneurship skills by providing training for setting up of the projects. The programmes contains motivating the prospective entrepreneurs, highlight respective projects, the course of actions to taken by them for setting up and successful running their unit.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Skill Training,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Entrepreneur,Entrepreneurship,Skill,Training,Vocational,Employment & Skill Development,Skill Training,Entrepreneur / Business Owner,,,,,,
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/edp-dc,Puducherry,myscheme,"The scheme aims to provide Entrepreneurship training, to encourage prospective entrepreneurs to start the coir industry. Awareness programmes will also be arranged for the existing coir industries about the modern technology and scheme, and incentives available under the State Grant.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Financial Assistance / Grant,Entrepreneur / Business Owner,Not Specified,Not Specified,Awareness,Coir,Entrepreneur,Industry,Skill,Training,Employment & Skill Development,Industry / MSME,Financial Assistance / Grant,Entrepreneur / Business Owner,,,,,
"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ecdhs,Puducherry,myscheme,"The ""Exhibition"" scheme by the Department of Industries and Commerce, Government of Puducherry, was introduced to boost the marketability of handicrafts and enhance sales through the organization of exhibitions. These exhibitions are conducted locally and in various states of the country.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Allowance,Business,Entrepreneurship,Exhibition,Handicraft,Business & Finance,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,,,,,,
"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/fgrmb-faascdmf,Puducherry,myscheme,"The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Boat,Financial Assistance,Fisheries,Fisherman,Grant,Agriculture,Financial Assistance / Grant,Reactivation,Increasing Marine,Steel Mechanized,,,,,
"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/wrflsncs-fbps,Puducherry,myscheme,"The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Fisherman,Not Specified,Not Specified,Clothes,Fisheries,Fisherman,Relief,Welfare,Agriculture,Ban,Natural Calamities,Fishing,Fishermen,,,,,
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/gs-mesifai-vi,Puducherry,myscheme,"Through the ""Generator Subsidy"" scheme, 50% subsidy is provided to the industrial units of the micro, small, medium and large industries for the purchase and installation of generators. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Entrepreneur,Generator,Machine,MSME,Subsidy,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/gs-mesifai,Puducherry,myscheme,"Through this scheme, the micro, small and medium industrial units (manufacturing and service sector) shall be eligible for the grant of 50% subsidy with a cap of ₹5,00,000/- per industrial unit on the investment made on or after 5-3-2009 on generator sets. The applications are accepted offline.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Business,Entrepreneurship,Industry,Machinery,Subsidy,Business & Finance,Industry / MSME,Financial Assistance / Grant,,,,,,,
"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ghs-pudu,Puducherry,myscheme,"“Grant To Handicrafts Societies” by the Department of Industries and Commerce, UT of Puducherry aims to encourage the creation of Handicrafts Societies to enhance coordination and skill among craftspeople. Grants are provided to registered societies for organizing or participating in exhibitions.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Artisan,Exhibition,Grant,Handicraft,Society,Employment & Skill Development,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,,,,,,
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-dc,Puducherry,myscheme,"The scheme ""Grant of Margin Money for Availing Capital Loan"" aims to incentivize entrepreneurs to establish new coir industries & revitalise existing ones. The units must be set up in Puducherry. The scheme provides margin money upon receipt of a financial institution's sanction order for a project.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Coir,Entrepreneur,Loan,Employment & Skill Development,Financial Assistance / Grant,Entrepreneur / Business Owner,Margin,Money,Existing Ones,,,,,
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-ds,Puducherry,myscheme,The scheme aims to encourage the entrepreneur to set up Silk Weaving Units in Puducherry. This margin money grants will reduce the initial financial burden on the entrepreneurs while availing term loan/working capital loan from the financial institutions for setting up of silk weaving units.,Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Entrepreneur / Business Owner,Not Specified,Not Specified,Bank,Business,Capital,Entrepreneur,Loan,Silk,Employment & Skill Development,Financial Assistance / Grant,Entrepreneur / Business Owner,,,,,,
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gccsa-dc,Puducherry,myscheme,"The ""Grant to Coir Cluster/Societies/Agency"" scheme aims to foster the development of coir industries. The scheme encourages unemployed rural youth and artisan individuals to participate in the manufacturing and sales of coir products. Grant of ₹2,00,000 per year is provided for five years.",Other / Uncategorized,All,All / Not Specified,Not Specified,Student / Youth,Industry / MSME,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Artisan,Coir,Grant,Society,Youth,Student / Youth,Industry / MSME,Financial Assistance / Grant,Artisan / Weaver,,,,,,
"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gssa-ds,Puducherry,myscheme,"The scheme ""Grant to Silk Societies/Agency"" aims to encourage the silk weaving artisans to form registered societies/agencies to develop a cluster approach among the artisans which is effective and advisable at present for the successful development of their business.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Artisan,Business,Grant,Silk,Society,Business & Finance,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,,,,,,
"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gsrmp-dc,Puducherry,myscheme,"The ""Grant to Subsidy for Raw Materials Procurement"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to promote Coir Industries by providing a 15% subsidy on annual raw materials procurement, capped at ₹5,00,000 per annum per unit.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Coir,Entrepreneur,Entrepreneurship,Grant,Subsidy,Employment & Skill Development,Financial Assistance / Grant,Entrepreneur / Business Owner,,,,,,
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/gefm-mesifai-sa-msme,Puducherry,myscheme,"The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Award,Business,Entrepreneur,Environment,MSME,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/wrflsncs-idra,Puducherry,myscheme,"The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Death,Family,Financial Assistance,Fisherman,Relief,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,,,,,,,
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/ira-wrflsncs,Puducherry,myscheme,"The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Family,Financial Assistance,Fisherman,Missing,Relief,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,,,,,,,
"""In-Plant Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ipt,Puducherry,myscheme,"""In-Plant Training"" was introduced to create employment opportunities and motivate entrepreneurship among the educated unemployed youth. The trainees acquire the skill by observing, assisting and learning the job on their own in the plant itself, making them acquire better skills in the trade.",Employment & Skill Development,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Skill,Stipend,Training,Unemployed,Youth,Employment & Skill Development,Student / Youth,Financial Assistance / Grant,,,,,,,
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/ids-mesifa-cii,,india_only,"Through this scheme, 30% Subsidy subject to a max. of ₹1,00,00,000/- will be granted on the investment made on building with a minimum extent of 50,000 sq.ft. constructed area, by the infrastructure developers/industries for leasing out to Information Technology industries or for own industrial use.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Infrastructure,Subsidy,Industry,MSME,Entrepreneur,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/infs-mesifai,Puducherry,myscheme,"The ""Infrastructure Subsidy"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Puducherry. 25% subsidy is provided to the industrial units who have made investments on buildings.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Not Specified,Not Specified,Not Specified,Entrepreneurship,Industry,Infrastructure,Subsidy,Business & Finance,Industry / MSME,Industries,Component Motivation,Motivation Entrepreneurs,Fiscal,,,,,
"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/itpp-mesifai-sa-msme,Puducherry,myscheme,"The award ""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is conferred upon the industrial units who have patented their technology innovation.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Industry,Innovation,MSME,Patent,Technology,Business & Finance,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",https://www.myscheme.gov.in/schemes/mmky-iaftufffp,Odisha,myscheme,"The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Farmer,Not Specified,Not Specified,Farmer,Fertilizer,Fisheries,Pond,Seed,Subsidy,Agriculture,Production,Enhance Income,Mgnrega,,,,,
"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board",https://www.myscheme.gov.in/schemes/ifpisbtcdb,Puducherry,myscheme,"Through the “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Construction,DBT,Farmer,Manure,Subsidy,Agriculture,Financial Assistance / Grant,Coconut,Laying,Productivity Improvement,,,,,
"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/is-mesifai-vi,Puducherry,myscheme,"Through this scheme, the industrial units availing loans from financial institutions towards the creation of fixed assets and for working capital shall be eligible for an interest subsidy to an extent of 25% of the annual interest amount paid. The applications are accepted offline.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Enterpreneur,Industry,Interest,MSME,Subsidy,Business & Finance,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/is-mesifai,Puducherry,myscheme,The industrial units which have availed loans from financial institutions towards the creation of fixed assets and for working capital shall be eligible for an interest incentive to an extent of 25% of the annual interest amount paid. The applications are accepted offline.,Business & Finance,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Loan / Credit,Not Specified,Not Specified,Not Specified,Finance,Incentive,Interest,Loan,Subsidy,Business & Finance,Loan / Credit,Units Availed,Assets Working,Extent Annual,,,,,
"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/iswc-atisis,Assam,myscheme,"The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Loan / Credit,Not Specified,Not Specified,Not Specified,Capital,Incentive,Industry,Interest,Subsidy,Business & Finance,Industry / MSME,Loan / Credit,,,,,,,
